Denalmo north=Agixo-A south=Amolusnisnu east=Elolesme west=Migina
Asnu north=Ago-Mo south=Emexisno east=Dinexe west=Amiximine
Esmosno north=Emexege south=Anegu east=Axesminilmo west=Dosmolixo
Age north=Enusmu south=Amilolna east=Mo-Mulu west=Amagagiga
Axagene north=Exala south=Deniniga east=Digeno west=Asmudu
Disminixisnu north=Dexanu south=Ego-Ale east=Axo-Elu west=Misninu
Dudaxo north=Dasnaxo south=Enisma east=Damena west=Asnelne
Elnilminigu south=Elodenina east=Dusmola west=Mo-Miga
Dixano north=Emudesme south=Demene east=Mosmigu west=Egexude
Alegina north=Asmanismu south=Asnusnila east=Mesnodige west=Mulina
Danixa north=Mu-Asme south=Milosmu east=Dagasmisno west=Alixude
Emosmino north=Dixudiniga south=Emo-Exina east=Asnanixa west=Dagamila
Elnesnila north=Daxo-De south=Agulmo east=Examaxa west=Dexudo
Dusmodila north=Mulneme south=Anigime east=Magega west=Musnexo
Esnusmu north=Egudilma south=Amexo-E west=Agixaginu
Mo-Mimo north=Mudimo south=Mulule east=Mesmega west=Axo-Ma
Mosnino north=Mulemo south=Esmesme east=Minimixixe west=Magaxila
Do-De north=Musmusno south=Almamu east=Danenu west=Asmesma
Mosmilna north=Amamile south=Enaxamixa east=Alagagimo west=Megosmimu
Migusma north=Mosmisme south=Musminina east=Migexe west=Amenigu
Menisnile north=Molusnu south=Egolma east=Dudisne west=Exexalinu
Amodalo north=Egimu-Du south=Exo-Do east=Dodosmilne west=Digolismo
Elaxa north=Esnano south=Magesmo east=Anudelixu west=Asnile
Asmame north=Elemudinigilo south=Musmasne east=Megaxe west=Exegixo
Mo-Dilmu north=Asnamo south=Alnudixa east=Milnamo west=Exudeno
Dexema north=Dagemo south=Asmisne east=Muliga west=Asnixu
Esnisnixe north=Exu-Alisme south=Amaxage east=Digo west=Enigixa
Egenu north=Alexanu south=Dusmixe east=Mimulixe west=Axilu-Minilmo
Emu-Ega north=Masme south=Masma east=Mixolixe west=Digila
Exosnilo north=Dime south=Egigeno east=Dulisna west=Mege
Enilosne north=Mimage south=Agilno east=Dixodu west=Molosme
Digimixu north=Dolude south=Mixodiniga east=Exulile west=Degosme
Dimegu north=Menismo south=Elulusnu east=Alulimisme west=Dememo
Mu-Demu north=Esnisne south=Enaxelna east=Dilolo west=Mulusne
Esmalmu north=Asnalmo south=Mesnodige east=Ega west=Asmanismu
Esmoligigo north=Almimu south=Exesnu east=Du-Dalu west=Egimima
Eligo-A north=Eludoda south=Axaxame east=Milmima west=Emodulna
Melmosmima north=Daxu-E south=Asnisne east=Exusma west=Mamule
Dilo north=Amudo south=Asmoda east=Malemixo west=Asnisnu
Dalno-A north=Asmodilna south=Egisne east=Emo-Me west=Mimelnu
Axaxu-A north=Amo-De south=Mesmu-Du east=Elimexu west=Ego-Axe
Mo-Ame north=Mu-Emu south=Ananalne east=Mime west=Malosma
Daxalima north=Asmudisnu south=Esmixiliga east=Enodu-E west=Manu
Dinana north=Esmuda south=Demigu east=Manuda west=Degodo
Mu-Enina north=Axilenu south=Elamo-A east=Megelo west=Amaligo
Mo-Mo-E north=Mo-Esna south=Denola east=Mosmu-Miniximo west=Egenu-Da
Digixu north=Mo-Degigisne south=Manene east=Mamame west=Megude
Asmole north=Elminino south=Enalimo east=Molasnu west=Examixo
De north=Dilnexu south=Mimima east=Exodame west=Daxige
Alagime north=Egegulo south=Ego-Amimu east=Aneludilna west=Esnosna
Mesne north=Enaxigo south=Mesna east=Mexaxu west=Mudina
Digiga north=Dalode south=Digige east=Egagesno west=Mudosmo
Anelmo north=Menalma south=Dosmulimu east=Maxudo west=Anenosmo
Mudusmo north=Dilosnisne south=Enosme east=Dolnelo west=Digisnu
Dosnude north=Danegine south=Modo-E east=Do-Asma west=Agesnisne
Egixano north=Egulo-Ma south=Alime east=Magaxila west=Agulme
Emimege north=Amodamu south=Axolodu east=Mexu-E west=Esmamu
Mu-Agu north=Enudisne south=Digegisna east=Enimima west=Mo-E
Dixolima north=Digimu south=Daxosmo east=Esmimu
